"rows.list[[i]]","PHYLLO09","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29","PHYLLO30"
"Desulfurivibrio",0,0.667763269482736,0.856397924967782,1.18260806288627,2.99257766686512,1.78989613541534
"Desulfurobacterium",0,1.33552653896547,0.856397924967782,0,0,0
"X.Desulfuromonadales.",0,0,0,0,0,0
"Desulfuromonas",0,0,0.856397924967782,0,0,0
"Dethiobacter",0,0,0.856397924967782,0.591304031443133,2.99257766686512,0.89494806770767
"Devosia",0,2.67105307793094,2.56919377490335,4.73043225154506,0,3.57979227083068
"Dialister",5.20667667252114,0,0,0.591304031443133,0,0
"Diaphorina",0,0,0,0.591304031443133,0,0
"Dichelobacter",0,0,0,0,2.99257766686512,0
"Dichomitus",0,0,1.71279584993556,0,0,0
"Dickeya",5.20667667252114,0,2.56919377490335,0.591304031443133,0,0
"Dictyoglomus",0,1.33552653896547,0,0,0,0
"X.Dictyosteliida.",0,0,0,0,0,0
"Dictyostelium",0,0,0,0,0,0
"Dietzia",15.6200300175634,81.4671188768938,69.3682319223903,109.39124581698,80.7995970053583,94.864495177013
"Dinoroseobacter",0,0.667763269482736,0,0,0,0
"X.Dipodascaceae.",0,0,0,0,0,0
"X.Diptera.",0,0,0,0,17.9554660011907,2.68484420312301
"Dokdonia",0,0,0,0,0,0
"Dolosigranulum",5.20667667252114,0.667763269482736,0.856397924967782,1.18260806288627,0,0.89494806770767
"Dorea",0,0,0,0.591304031443133,0,0
"X.Dothideomycetes.",10.4133533450423,60.0986942534462,47.9582837981958,23.0608572262822,80.7995970053583,29.5332862343531
"Draconibacterium",5.20667667252114,0.667763269482736,0.856397924967782,0,0,0
"Drechslerella",0,0,0,0,0,0
"Drosophila",0,0,0,0,2.99257766686512,0
"Dyadobacter",0,7.3453959643101,7.70758132471004,30.1565056035998,0,23.2686497603994
"Dyella",0,0,0,0,0,0
"Dysgonomonas",0,2.67105307793094,0,0,0,0
"Echinicola",0,1.33552653896547,0.856397924967782,0.591304031443133,0,0
"Echinococcus",0,0,0,1.18260806288627,0,0.89494806770767
"Ectothiorhodospira",0,0,0,0,0,0
"X.Ectothiorhodospiraceae.",0,1.33552653896547,0,1.7739120943294,2.99257766686512,1.78989613541534
"Edwardsiella",0,0,0,0,0,0
"Eggerthella",0,0,0.856397924967782,1.18260806288627,0,0.89494806770767
"Eimeria",0,0,0,0,0,0
"Elizabethkingia",0,52.7532982891362,0,35.478241886588,0,26.8484420312301
"Elusimicrobium",0,2.00328980844821,0.856397924967782,1.7739120943294,0,1.78989613541534
"Emiliania",0,0,0,0,0,0
